epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,1439.6,0.41072,0.28611,0.91812,0.9867,0.95833,0.98787,0.88887,0.46948,0.30376,0.90223,0.00072488,0.00072488,0.00072488
163,1447.96,0.4156,0.28408,0.92329,0.98947,0.9789,0.98696,0.89717,0.46846,0.30603,0.89688,0.00071696,0.00071696,0.00071696
164,1456.47,0.44529,0.29596,0.92401,0.98826,0.97917,0.98633,0.8968,0.45941,0.302,0.89827,0.00070904,0.00070904,0.00070904
165,1465.43,0.41833,0.29038,0.9162,0.98871,0.97917,0.98817,0.88962,0.47632,0.29814,0.89839,0.00070112,0.00070112,0.00070112
166,1473.79,0.42086,0.29205,0.93437,0.98766,0.96875,0.98366,0.87919,0.47373,0.3205,0.89941,0.0006932,0.0006932,0.0006932
167,1483.26,0.39719,0.27533,0.90112,0.98928,0.97917,0.98432,0.89774,0.44503,0.314,0.87936,0.00068528,0.00068528,0.00068528
168,1490.98,0.38852,0.26359,0.90751,0.98567,0.96875,0.98172,0.90181,0.44055,0.29433,0.87697,0.00067736,0.00067736,0.00067736
169,1500.74,0.41966,0.2791,0.92246,0.97928,0.96875,0.98293,0.9008,0.44516,0.28837,0.87981,0.00066944,0.00066944,0.00066944
170,1508.91,0.39056,0.27144,0.89661,0.97692,0.97917,0.98562,0.89274,0.4657,0.30295,0.88888,0.00066152,0.00066152,0.00066152
171,1518.95,0.41846,0.28143,0.91168,0.9815,0.97917,0.98429,0.89443,0.47721,0.31634,0.90571,0.0006536,0.0006536,0.0006536
172,1526.83,0.41114,0.27146,0.90512,0.98571,0.97917,0.98347,0.88941,0.47506,0.30188,0.90184,0.00064568,0.00064568,0.00064568
173,1536.78,0.39622,0.28124,0.90439,0.97867,0.97917,0.98215,0.88419,0.47288,0.31553,0.89707,0.00063776,0.00063776,0.00063776
174,1545.39,0.39196,0.2635,0.90439,0.9784,0.97917,0.97918,0.88311,0.47385,0.3083,0.89559,0.00062984,0.00062984,0.00062984
175,1555.25,0.39391,0.27975,0.8926,0.97658,0.97917,0.98017,0.89216,0.45897,0.31614,0.89514,0.00062192,0.00062192,0.00062192
176,1563.63,0.39114,0.26432,0.90368,0.98936,0.96869,0.98196,0.88589,0.50187,0.30263,0.91773,0.000614,0.000614,0.000614
177,1573.43,0.37913,0.2589,0.89595,0.98864,0.97917,0.98148,0.89311,0.47096,0.29888,0.9055,0.00060608,0.00060608,0.00060608
178,1581.77,0.38353,0.25884,0.9142,0.98696,0.97917,0.98541,0.89556,0.48385,0.31684,0.90281,0.00059816,0.00059816,0.00059816
179,1591.24,0.35813,0.25147,0.88381,0.98956,0.9872,0.98618,0.8956,0.46554,0.30026,0.89622,0.00059024,0.00059024,0.00059024
180,1599.52,0.40521,0.27576,0.9171,0.98952,0.98344,0.98603,0.89106,0.48809,0.32501,0.89912,0.00058232,0.00058232,0.00058232
181,1608.91,0.39144,0.27184,0.9073,0.97823,0.95833,0.98087,0.88038,0.49548,0.3297,0.91195,0.0005744,0.0005744,0.0005744
182,1617.4,0.38282,0.26251,0.88971,0.98744,0.94792,0.97902,0.88593,0.49071,0.31443,0.9032,0.00056648,0.00056648,0.00056648
183,1625.87,0.40149,0.26725,0.91989,0.96777,0.96875,0.9813,0.88034,0.44191,0.28907,0.88435,0.00055856,0.00055856,0.00055856
